
																																																																																						
KODE_PABRIK	KODE_GRPOBAT	KODE_JENISOBAT	KODE_IPAOBAT	KODE_GENOBAT	KODE_ASKESOBAT	KODE_KONOBAT	KODE_OBAT	NAMA_OBAT	KEMASAN_OBAT	SATUAN_OBAT	ISI_OBAT	DOSIS_OBAT	HNAREG_OBAT	HNAPPNREG_OBAT	HNAGENPPN_OBAT	HNAOTCPPN_OBAT	HJAPPN_OBAT	HNAASKES_OBAT	HNAPPNASKES_OBAT	HKSPPN_OBAT	TGLAKTBELI_OBAT	KODE_KREDITUR	TGLAKTJUAL_OBAT	KODE_KLTLOBAT	QTYAWAL_OBAT	QTYBELI_OBAT	QTYDROPING_OBAT	QTYJUAL_OBAT	QTYAWALK_OBAT	QTYBELIK_OBAT	QTYDROPK_OBAT	QTYJUALK_OBAT	STOCKMINIM_OBAT	STOCKBESAR_OBAT	STOCKRACIK_OBAT	STOCKDPHO_OBAT	STOCKKON_OBAT	TGLBARU_OBAT	TGLEXPIRE_OBAT	QTYAKHIR_OBAT	QTYAKHIRK_OBAT	KODE_PBF	BISNIS_BARANG	KOBAT_ASKES	KODE_OPNAME	HJDS_OPNAME	HPP_OPNAME	TGL_EDIT	PEMAKAI	KODE_OUTLET	DISC1	DISC2	HARGA	BARCODE	MIN_QTY	FAKTOR1	FAKTOR2	FAKTOR3	FAKTOR4	DISC	DISCH	DISCU	DISCA	TANGGAL1	TANGGAL2	HJAR	HJAH	HJAU	HJAA	LOKASI	CAT	SUBCAT	CLAS	SUBCLAS	WKT_TRANSFER	TEMP_STOCK	VALID	KODEDEBITUR	BYR_VOUCHER	STD_OBAT	AKTIF_OBAT	TGL1	TGL2	DISC_RP	DISC_SEN	
7511	2	0	2200	12	0	0	7511222002001	JAHE MERAH INSTANT@5	DUSDUS1	DUS	1	1.00	35000.00	38500.00	0.00	0.00	35000.00	35000.00	38500.00	1.00	07/11/2013	ASPBF00277	02/26/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			28000.00	28000.00	07/11/2013			20.00	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	10.00	0.00	0.00	04/01/2015	04/30/2015	0.00	0.00	0.00	0.00		HEALTH	Traditional Medicine	Traditional Medicine	Fito Farmaka, Herbal, Natural	-	0.00	Y		-	3	-	-	-	0.00	0.00	
024	2	000	1201	11	0	0	0241112012008	TWYNSTA 40+10MG TAB@28	DUSTAB28	TAB	28	1.00	11900.00	13090.00	0.00	1.00	26191.00	0.00	0.00	1.00	01/30/2014		03/05/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	01/30/2013	0241112012008		5.00	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		PRESCRIPTION	Drugs	Cardiovascular & Hematopoietic	Peripheral Vasodilators & Cerebral Activators	-	0.00	Y		-	3	-	-	-	0.00	0.00	
026	2	14	41	11	0	0	0261114241017	KENACORT 4MG TAB@100	DUSTAB100	TAB	100	4.00	3772.00	4149.00	0.00	1.00	0.00	3661.65	4027.82	1.00	03/18/2014	ASPBFD0018	06/15/2015	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00	K-0197	1	BMJAYA		3678.00	3678.00	09/07/2012	0261114241017	2140100002	2.50	0.00	3409.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	HISTAMIN	PRESCRIPTION	Drugs	Endocrine & Metabolic System	Agents Affecting Bone Metabolism		0.00	Y		0	3	-	-	-	0.00	0.00	
101	2	12	35	12	0	0	1011212235001	FARMACROL FORTE SUSP 100ML	BTLBTL1	BTL	1	1.00	37000.00	40700.00	0.00	0.00	0.00	35000.00	38500.00	0.00	04/23/2014	ASPBFK0009	08/21/2015	1	1.00	0.00	-1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+2.00000000000000E+000	0.00	F-0033	1	BMJAYA		37000.00	37000.00	04/29/2015	1011212235001	2140100002	0.00	0.00	38500.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	44500.00	0.00	0.00	HV CERNA	HEALTH	Medicine Cabinet	Stomach	Antacid		0.00	Y		0	3	-	-	-	0.00	0.00	
214	2	13	03	12	0	0	2141213203004	DEXTRAL TAB@150	DUSTAB150	TAB	150	1.00	400.00	440.00	0.00	0.00	0.00	307.00	337.00	0.00	04/30/2014	ASPBFM0029	10/09/2015	1	15.00	0.00	0.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00	D-0407	1	BMJAYA		339.00	339.00	04/04/2015	2141213203004	2140100002	15.00	0.00	271.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	PERNAFASAN	PRESCRIPTION	Drugs	Gastro Intestinal & Hepatobili	Antacids, Antireflux Agents & Antiulcerants		0.00	Y		0	3	-	-	-	0.00	0.00	
926	2	0	2100	12	0	0	9261221002002	TONGKAT KAKI 4 GEA	BHBH1	BH	1	1.00	85000.00	93500.00	0.00	0.00	0.00	85000.00	93500.00	0.00	04/16/2014	ASPBF00123	10/20/2015	1	2.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			85000.00	85000.00	04/05/2015		2140100002	0.00	0.00	0.00		1.00	1.30	1.25	1.15	1.50	0.00	0.00	0.00	0.00	-	-	113000.00	113000.00	113000.00	113000.00	ALKES					-	0.00	Y	-	0		-	-	-	0.00	0.00	
352	2	41	51	16	0	0	3521641251076	GUNTING VERBAND	BHBH1	BH	1	1.00	18182.00	20000.00	0.00	0.00	0.00	18182.00	20000.00	1.00	02/14/2014	ASPBF00123	05/15/2015	1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA		18182.00	18182.00	04/05/2015	3521641251076	2140100002	0.00	0.00	20000.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	ALKES DALA	HEALTH	Medical Equipment	Medical Supplies	Medical Tools		0.00	Y		0	3	-	-	-	0.00	0.00	
323	2	12	41	12	0	0	3231212241003	SCOTT CHEW VIT C TAB@20	BTLBTL1	BTL	1	1.00	12636.00	13900.00	0.00	0.00	0.00	12146.00	13361.00	1.00	04/23/2014	ASPBFA0013	04/27/2015	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			10909.00	10909.00	01/21/2014	3231212241003	2140100002	0.00	0.00	11440.00	8992695324221	20.00	1.30	1.25	1.15	1.25	0.00	10.00	0.00	0.00	04/01/2015	04/30/2015	0.00	0.00	0.00	0.00	HV VIT TAB	HEALTH	Vitamin & Supplement	Vitamin and Mineral	Appetite Stimulant, Growth & DHA	-	0.00	Y		0	3	-	-	-	0.00	0.00	
106	2	12	03	12	0	0	0741212203005	OPTIMAX KPL@30	DUSKPL30	KPL	30	1.00	5866.66	6453.00	0.00	0.00	0.00	5333.33	5866.66	1.00	04/03/2014	ASPBFA0016	12/02/2013	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00	03/01/	1	BMJAYA		5333.00	5333.00	04/06/2015	0741212203005	2140100002	0.00	0.00	3667.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	BMJAYA	PRESCRIPTION	Drugs	Vitamins & Nutritions	Vitamins & Minerals		0.00	Y		0	3	-	-	-	0.00	0.00	
031	2	25	03	11	0	0	0311125203003	ZISTIC 500MG KPL @6	DUSKPL6	KPL	6	1.00	22500.00	24750.00	0.00	1.00	0.00	22500.00	24750.00	1.00	10/08/2013	ASPBFK0001	10/08/2013	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			22500.00	22500.00	04/06/2015	0311125203003	2140100002	3.00	0.00	24750.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		PRESCRIPTION	Drugs	Anti-Infectives ( Systemic )	Macrolides	-	0.00	Y		0	3	-	-	-	0.00	0.00	
101	2	12	35	12	0	0	1011212235002	FARMACROL FORTE SUSP 200ML	BTLBTL1	BTL	1	1.00	44000.00	48400.00	0.00	0.00	0.00	44000.00	48400.00	1.00	04/01/2014	ASPBFK0009	03/03/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00	F-0034	1			44000.00	44000.00	04/29/2015	1011212235002	2140100002	0.00	0.00	48400.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Medicine Cabinet	Stomach	Antacid		0.00	Y		0	3	-	-	-	0.00	0.00	
560	2	0	2100	12	0	0	5601221002011	MASTER SURGICAL GLOVE NO.7	BHBH1	BH	1	1.00	4500.00	4950.00	0.00	0.00	0.00	0.00	0.00	1.00	09/26/2014	ASPBF00330	09/26/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	09/26/2014			0.00	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Medical Equipment	First Aid	Gloves	-	0.00	Y		0	3	-	-	-	0.00	0.00	
158	2	14	01	11	0	0	1581114201030	KALMECO 500MCG INJ AMP@5	DUSAMP5	AMP	5	1.00	19600.00	21560.00	0.00	0.00	0.00	17600.00	19360.00	1.00	09/24/2013	ASPBFE0004	09/04/2013	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA		19110.00	19110.00	04/30/2015	1581114201030	2140100002	2.50	0.00	18260.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	INJEK/INFU	PRESCRIPTION	Drugs	Intravenous & Other Sterile So	Intravenous & Other Sterile Solutions		0.00	Y		0	3	-	-	-	0.00	0.00	
560	2	0	2100	12	0	0	5601221002012	MASTER SURGICAL GLOVE NO.7.5	BHBH1	BH	1	1.00	4500.00	4950.00	0.00	0.00	0.00	0.00	0.00	1.00	09/26/2014	ASPBF00330	09/26/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	09/26/2014			0.00	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Medical Equipment	First Aid	Gloves	-	0.00	Y		0	3	-	-	-	0.00	0.00	
560	2	0	2100	12	0	0	5601221002013	MASTER SURGICAL GLOVE NO.8	BHBH1	BH	1	1.00	4500.00	4950.00	0.00	0.00	0.00	0.00	0.00	1.00	09/26/2014	ASPBF00330	09/26/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	09/26/2014			0.00	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Medical Equipment	First Aid	Gloves	-	0.00	Y		0	3	-	-	-	0.00	0.00	
176	2	000	2300	11	0	0	1761123002003	IMUNOS PLUS CPL@20	DUSKPL20	KPL	20	1.00	7500.00	8250.00	0.00	1.00	0.00	7500.00	8250.00	0.00	05/02/2014	ASPBFS0874	09/27/2015	1	16.00	0.00	-20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+3.60000000000000E+001	0.00		1			0.00	0.00	05/04/2015	1761123002003		7.00	0.00	0.00	8993883880215	1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	SUPLEMENT	PRESCRIPTION	Drugs	Vitamins & Nutritions	Vitamins & Minerals	-	0.00	Y		-	3	-	-	-	0.00	0.00	
370	2	30	36	12	0	0	3701212234001	JF SULFUR 10% SOAP100GR	BHBH1	BH	1	1.00	7300.00	8030.00	0.00	0.00	0.00	6700.00	7370.00	0.00	08/01/2013	ASPBFC0010	06/18/2015	1	0.00	0.00	-3.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	1.00	-	-	+3.00000000000000E+000	0.00		1			7154.00	7154.00	05/07/2015	3701212234001	2140100002	3.00	0.00	6127.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	BODY CARE	PERSONAL & BEAU	Beauty Care	Soap & Bodywash	Medicated Soap		0.00	Y		0	3	-	-	-	0.00	0.00	
455	2	0	2203	12	0	0	4551222032036	PIGEON BREAST PUMP MANUAL Q694	BHBH1	BH	1	1.00	362800.00	399080.00	0.00	0.00	0.00	307600.00	338360.00	1.00	04/17/2014	ASPBF00013	10/10/2015	1	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			344660.00	344660.00	05/08/2015	4551222032036	2140100002	5.00	0.00	292875.00	4902508166942	1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	BABY CARE	BABY PRODUCTS	Baby & Child Care	Feeding & Accessories	Bottles & Nipples	-	0.00	Y	-	0	3	-	-	-	0.00	0.00	
3952	2	0	2200	12	0	0	3951222002002	PRODUGEN CHOCOMAX CHOCOCRE300G	DUSDUS1	DUS	1	1.00	22800.00	25080.00	0.00	0.00	0.00	0.00	0.00	1.00	12/01/2014	ASPBFA0016	11/27/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	11/28/2014	3951222002002		0.00	0.00	0.00	8996042873561	1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Milk & Nutrition	Baby & Children Milk	Growing Up	-	0.00	Y		0	3	-	-	-	0.00	0.00	
3952	2	0	2200	12	0	0	4031222002003	PRODUGEN GOLD 245GR COKLAT	DUSDUS1	DUS	1	1.00	27600.00	30360.00	0.00	0.00	0.00	0.00	0.00	1.00	12/01/2014	ASPBFA0016	11/27/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	11/28/2014	4031222002003		1.50	0.00	0.00	8996042873349	1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Milk & Nutrition	Adult Milk	Hi Calcium & Low Fat	-	0.00	Y		-	3	-	-	-	0.00	0.00	
280	2	40	42	16	0	0	3521242242005	ACCU-CHEK ACTIVE GLUCOS STP@50	BHBH1	BH	1	1.00	350000.00	385000.00	0.00	0.00	349800.00	318000.00	349800.00	1.00	03/04/2014	AS00000163	04/11/2015	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA2		238500.00	238500.00	09/06/2013	3521242242005		45.00	0.00	200000.00	4015630056378	1.00	1.30	1.25	1.15	1.25	18.00	18.00	18.00	18.00	06/15/2015	09/15/2015	0.00	0.00	0.00	0.00	ALKES DALA	HEALTH	Medical Equipment	Home Diagnostics	Diabetic Kits		0.00	Y		0	3	-	-	-	0.00	0.00	
1322	2	000	2200	16	0	0	1321622002001	MS TELLME HCG DEVICE	BHBH1	BH	1	1.00	18000.00	19800.00	0.00	0.00	0.00	18000.00	19800.00	0.00	03/06/2014	ASPBF00055	10/01/2015	1	22.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+2.10000000000000E+001	0.00		1			22091.00	22091.00	01/16/2013			27.00	0.00	0.00		1.00	1.30	1.25	1.15	1.25	20.00	20.00	20.00	20.00	-	-	35000.00	35000.00	35000.00	35000.00	SEX HV	HEALTH	Medical Equipment	Home Diagnostics	Pregnancy & Ovulation Test	-	0.00	Y		0	3	-	-	-	0.00	0.00	
3952	2	20	51	12	0	0	4031220251003	PRODUGEN GOLD 245GR PLAIN	DUSDUS1	BH	1	1.00	27600.00	30360.00	0.00	0.00	0.00	0.00	0.00	1.00	12/01/2014	ASPBFA0016	11/27/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-	-	+0.00000000000000E+000	0.00		1	BMJAYA		0.00	0.00	11/28/2014	4031220251003		1.50	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00	BMJAYA	HEALTH	Milk & Nutrition	Adult Milk	Hi Calcium & Low Fat		0.00	Y		-	3	-	-	-	0.00	0.00	
3952	2	0	2200	12	0	0	4031222002004	PRODUGEN GOLD 245GR VANILA	DUSDUS1	DUS	1	1.00	27600.00	30360.00	0.00	0.00	0.00	0.00	0.00	1.00	12/01/2014	ASPBFA0016	11/27/2014	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-	-	+0.00000000000000E+000	0.00		1			0.00	0.00	11/28/2014	4031222002004		1.50	0.00	0.00		1.00	1.30	1.25	1.15	1.25	0.00	0.00	0.00	0.00	-	-	0.00	0.00	0.00	0.00		HEALTH	Milk & Nutrition	Adult Milk	Hi Calcium & Low Fat	-	0.00	Y		-	3	-	-	-	0.00	0.00	
